"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42747",,,,,,,"42605, 42626, 42687, 42733",,,,,
"42748","42734",,,"42734","42734","42734",,,"42734","42734",,
"42755",,,,,,,"42687, 42757",,,,,
"42756",,,,,,,"42687, 42757",,,,,
"42757",,,,,,,"42624, 42631, 42633, 42643, 42644, 42674, 42687, 42690, 42746",,,,,
"42760",,,,"42763, 42767, 42782, 42783, 42808, 42813, 42815, 42816, 42818, 42826",,,,,,,,
"42763",,,,"42760, 42767, 42782, 42783, 42808, 42813, 42815, 42816, 42818, 42826",,,,,,,,
"42767",,,,"42760, 42763, 42782, 42783, 42808, 42813, 42815, 42816, 42818, 42826",,,,,,,,
"42782","42783","42783","42783","42760, 42763, 42767, 42783, 42784, 42785, 42786, 42808, 42813, 42815, 42816, 42818, 42826","42783","42783","42825, 42826",,"42783","42783","42783, 42784, 42785, 42786","42783"
"42783","42782","42782","42782","42760, 42763, 42767, 42782, 42808, 42813, 42815, 42816, 42818, 42826","42782","42782","42804",,"42782","42782","42782","42782"
"42784",,,,"42782",,,,,,,"42782",
"42785",,,,"42782",,,,,,,"42782",
"42786",,,,"42782",,,,,,,"42782",
"42793",,,"42796","42796","42796",,,,,,,
"42796",,,"42793","42793","42793",,,,,,,
"42804",,,,,,,"42783",,,,,
"42805",,,,,,,"42822",,,,,
"42808",,,"42815, 42816","42760, 42763, 42767, 42782, 42783, 42813, 42815, 42816, 42818, 42826",,,,,,,,
"42813",,,,"42760, 42763, 42767, 42782, 42783, 42808, 42815, 42816, 42818, 42826",,,,,,,,
"42815",,,"42808","42760, 42763, 42767, 42782, 42783, 42808, 42813, 42818, 42826",,,,,,,,
"42816",,,"42808","42760, 42763, 42767, 42782, 42783, 42808, 42813, 42818, 42826",,,,,,,,
"42818",,,,"42760, 42763, 42767, 42782, 42783, 42808, 42813, 42815, 42816, 42826",,,"42825, 42826",,,,,
"42822",,,,,,,"42805",,,,,
"42825",,,,,,,"42782, 42818, 42826",,,,,
